parent_id,child_id,parent_user,edge_type,source,child_date_unix,parent_date_unix,time_inverted,_removed_reason
1288,665,bradsucks,local,query,1109889600,1116228060.0,True,time_inverted
35760,35759,SackJo22,local,embedded,1329487080,1329487560.0,True,time_inverted
38667,37174,Archos,local,embedded,1336573380,1344679380.0,True,time_inverted
53645,38050,Pan:core,pool,embedded,1341488520,1461302940.0,True,time_inverted
38664,38638,Syenta,local,embedded,1344545700,1344662640.0,True,time_inverted
54280,38945,Las kademy,pool,embedded,1346240400,1468578780.0,True,time_inverted
39562,39553,Donnie Ozone,local,embedded,1350371580,1350412260.0,True,time_inverted
39574,39570,Madam Snowf...,local,embedded,1350491640,1350502080.0,True,time_inverted
42246,42238,Admiral Bob,local,embedded,1367186160,1367249280.0,True,time_inverted
42505,42502,Admiral Bob,local,embedded,1369528320,1369554120.0,True,time_inverted
43657,43639,Kara Square,local,embedded,1380525840,1380603660.0,True,time_inverted
43676,43671,Lasswell,local,embedded,1380649860,1380677040.0,True,time_inverted
58487,44460,Milo fungus,pool,embedded,1386770280,1539613080.0,True,time_inverted
46480,46449,Martijn de ...,local,embedded,1404145620,1404374580.0,True,time_inverted
46982,46675,diaphane,local,embedded,1405604880,1407493560.0,True,time_inverted
46705,46701,SackJo22,local,embedded,1405781340,1405806120.0,True,time_inverted
47390,47385,Admiral Bob,local,embedded,1410393360,1410468900.0,True,time_inverted
60878,48605,Tonux.gix,pool,embedded,1419587040,1578434220.0,True,time_inverted
49286,49285,solos_to_use,local,embedded,1424579040,1424580360.0,True,time_inverted
49678,49663,Ezra Skull,local,embedded,1426975620,1427062920.0,True,time_inverted
49803,49802,solos_to_use,local,embedded,1428301380,1428302280.0,True,time_inverted
51338,51387,SackJo22,local,embedded,1440743400,1441053660.0,True,time_inverted
51338,51371,SackJo22,local,embedded,1440562920,1441053660.0,True,time_inverted
52204,52205,Ezra Skull,local,embedded,1447488360,1447659600.0,True,time_inverted
56312,55269,Rey Izain,local,embedded,1482260460,1500823320.0,True,time_inverted
55256,55228,texasradiof...,local,embedded,1481500920,1482021480.0,True,time_inverted
56058,55488,Marineguy,local,embedded,1485792480,1495945080.0,True,time_inverted
56136,56133,Speck,local,embedded,1497611820,1497627240.0,True,time_inverted
57951,57924,Ezra Skull,local,embedded,1531413720,1531823340.0,True,time_inverted
59986,59977,Ezra Skull,local,embedded,1562198460,1562247360.0,True,time_inverted
62027,61704,bangcorrupt,local,embedded,1590833820,1596032280.0,True,time_inverted
62342,62322,septahelix,local,embedded,1601789400,1602007200.0,True,time_inverted
62364,62338,Kara Square,local,embedded,1601949120,1602247020.0,True,time_inverted
63611,63570,Speck,local,embedded,1619319840,1619925240.0,True,time_inverted
63802,63661,Skye Jordan,local,embedded,1620550740,1623977820.0,True,time_inverted
66894,66886,Apoxode,local,embedded,1692574440,1692812880.0,True,time_inverted
68889,67771,jjfrazz,local,embedded,1707601920,1728161400.0,True,time_inverted
51604,34515,Le CapharnaÃ¼m,pool,embedded,1322137260,1442417760.0,True,time_inverted
51603,34516,Ally Valentine,pool,embedded,1322137440,1442414820.0,True,time_inverted
51603,34501,Ally Valentine,pool,embedded,1322062260,1442414820.0,True,time_inverted
36022,31889,Robin Stine,pool,embedded,1305917280,1330521600.0,True,time_inverted
31859,31831,headphonica,local,embedded,1305218220,1305519480.0,True,time_inverted
31766,31735,Steven M Br...,local,embedded,1304599500,1304773860.0,True,time_inverted
50066,31691,redhouse91,pool,embedded,1304368320,1430817000.0,True,time_inverted
49841,31552,chidori-san,pool,embedded,1303570920,1428830340.0,True,time_inverted
49805,31506,gelo_papas,pool,embedded,1303195560,1428311460.0,True,time_inverted
49731,31492,wcfl10,pool,embedded,1303052940,1427597520.0,True,time_inverted
49635,31366,ascensionseries,pool,embedded,1302431880,1426687980.0,True,time_inverted
49600,31300,LG,pool,embedded,1302193080,1426336860.0,True,time_inverted
49601,31304,A43,pool,embedded,1302201480,1426343160.0,True,time_inverted
49273,31258,pwhitfield,pool,embedded,1301940600,1424532420.0,True,time_inverted
31253,30964,rutgermuller,pool,embedded,1300138560,1301861700.0,True,time_inverted
49080,30936,Connum,pool,embedded,1299995640,1423899540.0,True,time_inverted
36096,30954,Kyiv Chamber Choir,pool,embedded,1300043280,1330985940.0,True,time_inverted
48584,30811,meowtek,pool,embedded,1299174600,1419319140.0,True,time_inverted
48583,30811,jus,pool,embedded,1299174600,1419318780.0,True,time_inverted
48567,30755,asdftekno,pool,embedded,1298977200,1419175680.0,True,time_inverted
48568,30755,richiedejaneiro,pool,embedded,1298977200,1419209100.0,True,time_inverted
48569,30755,richiedejaneiro,pool,embedded,1298977200,1419211560.0,True,time_inverted
48533,30670,Syna-Max,pool,embedded,1298559000,1418900220.0,True,time_inverted
48253,30442,stackpool,pool,embedded,1296993480,1416563340.0,True,time_inverted
48193,30393,AbduAbdi,pool,embedded,1296817020,1416150240.0,True,time_inverted
48080,30242,FaireDesVagues,pool,embedded,1295791980,1415860020.0,True,time_inverted
30120,30052,Sassygal,local,embedded,1294574340,1295025300.0,True,time_inverted
45603,30001,sorohanro,pool,embedded,1294412640,1396410660.0,True,time_inverted
37497,29944,yewbic,pool,embedded,1293973980,1338220860.0,True,time_inverted
39297,29854,epanody,pool,embedded,1293518040,1348298940.0,True,time_inverted
47653,29855,Omar Alvarado,pool,embedded,1293521880,1412643000.0,True,time_inverted
39295,29854,epanody,pool,embedded,1293518040,1348293060.0,True,time_inverted
45330,29721,Corsica_S,pool,embedded,1292596680,1393769220.0,True,time_inverted
45925,29648,Corsica_S,pool,embedded,1292153820,1400106180.0,True,time_inverted
45925,29562,Corsica_S,pool,embedded,1291550640,1400106180.0,True,time_inverted
46856,29479,NoiseCollector,pool,embedded,1290954600,1406636040.0,True,time_inverted
32681,29319,laban,pool,embedded,1289912580,1311139440.0,True,time_inverted
36788,29289,Nurykabe,pool,embedded,1289764680,1334676300.0,True,time_inverted
36791,29289,Nurykabe,pool,embedded,1289764680,1334696100.0,True,time_inverted
40550,29285,batchku,pool,embedded,1289740800,1356243600.0,True,time_inverted
35742,29253,mattbronka,pool,embedded,1289575800,1329396900.0,True,time_inverted
45984,29242,awfulTHEsample,pool,embedded,1289515860,1400804160.0,True,time_inverted
45985,29242,awfulTHEsample,pool,embedded,1289515860,1400805180.0,True,time_inverted
45986,29242,awfulTHEsample,pool,embedded,1289515860,1400806620.0,True,time_inverted
46089,29253,Tomlija,pool,embedded,1289575800,1401499200.0,True,time_inverted
29137,29134,Ezra Skull,local,embedded,1289091240,1289091480.0,True,time_inverted
39319,29108,epanody,pool,embedded,1289020740,1348429500.0,True,time_inverted
42679,29114,offthesky,pool,embedded,1289063220,1371074340.0,True,time_inverted
45665,29053,awfulTHEsample,pool,embedded,1288746600,1397090700.0,True,time_inverted
45669,29053,awfulTHEsample,pool,embedded,1288746600,1397128800.0,True,time_inverted
45670,29053,awfulTHEsample,pool,embedded,1288746600,1397147580.0,True,time_inverted
45624,28988,awfulTHEsample,pool,embedded,1288319760,1396568160.0,True,time_inverted
45623,28988,awfulTHEsample,pool,embedded,1288319760,1396566660.0,True,time_inverted
45576,28935,rossf,pool,embedded,1287923040,1396130340.0,True,time_inverted
45339,28862,Corsica_S,pool,embedded,1287563700,1393861380.0,True,time_inverted
45492,28888,thatjeffcarter,pool,embedded,1287736080,1395532140.0,True,time_inverted
45328,28839,ERH,pool,embedded,1287378420,1393757580.0,True,time_inverted
45330,28839,Corsica_S,pool,embedded,1287378420,1393769220.0,True,time_inverted
45282,28810,GENESIMMONS,pool,embedded,1287197220,1393363980.0,True,time_inverted
45248,28775,reveling_john,pool,embedded,1286970840,1392915240.0,True,time_inverted
45249,28775,reveling_john,pool,embedded,1286970840,1392952920.0,True,time_inverted
45250,28775,reveling_john,pool,embedded,1286970840,1392970560.0,True,time_inverted
40616,28693,helitron,pool,embedded,1286544720,1356708000.0,True,time_inverted
40617,28693,helitron,pool,embedded,1286544720,1356711840.0,True,time_inverted
