,dAUC,lo,hi
"source structure (n_sources, in_degree, is_derivative)",0.1131406663907959,0.10353763008826776,0.12290066697729282
"files / format (num_files, flac)",0.08177493507805296,0.07555742659828545,0.09037500570205312
author history,0.02845674748376544,0.022895117657792112,0.032700164463502004
content tags,0.002997029637642734,0.0018211339265641446,0.0044450100111760454
source prominence,0.0009983989449572905,0.00010593600015634252,0.0019098517629119625
licence,0.0007561736943113073,9.407878445262808e-05,0.0011301978286581498
title,0.00040292132470099996,-0.00012390764954847423,0.0008589226540939381
posting time,-0.0006278062246869165,-0.0014360722466414317,7.813849146494344e-05
